seed,w,stage,n_nodes_A,n_nodes_B,symdiff_nodes_AB,trunk_common,jaccard_A,one_minus_J,concordance,counterfactual_A_symdiff_size,shared_graph_object
0,2,0,60,60,0,1,0.5,0.5,0.9333333333333333,1,1
0,2,1,77,77,0,1,0.09090909090909091,0.9090909090909091,0.6153846153846154,10,1
0,2,2,88,88,0,1,nan,nan,1.0,0,1
0,2,3,96,96,0,1,nan,nan,1.0,0,1
0,2,4,100,100,0,1,nan,nan,1.0,0,1
0,2,5,102,102,0,1,nan,nan,1.0,0,1
0,2,6,104,104,0,1,nan,nan,1.0,0,1
0,2,7,108,108,0,1,nan,nan,1.0,0,1
0,2,8,110,110,0,1,nan,nan,1.0,0,1
0,2,9,112,112,0,1,nan,nan,1.0,0,1
0,2,10,113,113,0,1,nan,nan,1.0,0,1
0,2,11,115,115,0,1,nan,nan,1.0,0,1
0,2,12,117,117,0,1,nan,nan,1.0,0,1
0,2,13,119,119,0,1,nan,nan,1.0,0,1
0,2,14,124,124,0,1,nan,nan,1.0,0,1
0,2,15,126,126,0,1,1.0,0.0,1.0,0,1
0,2,16,129,129,0,1,1.0,0.0,1.0,0,1
0,2,17,130,130,0,1,nan,nan,1.0,0,1
0,2,18,131,131,0,1,1.0,0.0,1.0,0,1
0,2,19,134,134,0,1,1.0,0.0,1.0,0,1
1,2,0,60,60,0,1,0.2,0.8,0.7333333333333333,4,1
1,2,1,62,62,0,1,0.3333333333333333,0.6666666666666667,0.75,4,1
1,2,2,69,69,0,1,0.3333333333333333,0.6666666666666667,0.8,4,1
1,2,3,85,85,0,1,0.0,1.0,0.8928571428571429,3,1
1,2,4,96,96,0,1,nan,nan,1.0,0,1
1,2,5,102,102,0,1,nan,nan,1.0,0,1
1,2,6,103,103,0,1,nan,nan,1.0,0,1
1,2,7,104,104,0,1,nan,nan,1.0,0,1
1,2,8,107,107,0,1,nan,nan,1.0,0,1
1,2,9,109,109,0,1,nan,nan,1.0,0,1
1,2,10,112,112,0,1,nan,nan,1.0,0,1
1,2,11,114,114,0,1,nan,nan,1.0,0,1
1,2,12,117,117,0,1,nan,nan,1.0,0,1
1,2,13,118,118,0,1,nan,nan,1.0,0,1
1,2,14,119,119,0,1,nan,nan,1.0,0,1
1,2,15,121,121,0,1,nan,nan,1.0,0,1
1,2,16,124,124,0,1,nan,nan,1.0,0,1
1,2,17,126,126,0,1,nan,nan,1.0,0,1
