seed,w,stage,concordance_selfref_at_stage_start,jaccard_A_at_stage_start,agree_frontier_label,agree_past_label,agree_core_label,n_nodes,symdiff_nodes_AB,trunk_common
0,1,0,0.9333333333333333,0.5,0.2857142857142857,nan,nan,60,0,1
0,1,1,0.6538461538461539,0.18181818181818182,0.3157894736842105,1.0,1.0,77,0,1
0,1,2,1.0,nan,1.0,1.0,1.0,88,0,1
0,1,3,1.0,nan,1.0,1.0,1.0,96,0,1
0,1,4,1.0,nan,1.0,1.0,1.0,100,0,1
0,1,5,1.0,nan,1.0,1.0,1.0,102,0,1
0,1,6,1.0,nan,1.0,1.0,1.0,104,0,1
0,1,7,1.0,nan,1.0,1.0,1.0,108,0,1
0,1,8,1.0,nan,1.0,1.0,1.0,110,0,1
0,1,9,1.0,nan,1.0,1.0,1.0,112,0,1
0,1,10,1.0,nan,1.0,1.0,1.0,113,0,1
0,1,11,1.0,nan,1.0,1.0,1.0,115,0,1
0,1,12,1.0,nan,1.0,1.0,1.0,117,0,1
0,1,13,1.0,nan,1.0,1.0,1.0,119,0,1
1,1,0,0.6666666666666666,0.0,0.6428571428571429,1.0,1.0,60,0,1
1,1,1,0.75,0.2,0.7857142857142857,1.0,1.0,62,0,1
1,1,2,0.95,0.75,0.7333333333333333,1.0,1.0,69,0,1
1,1,3,1.0,nan,1.0,1.0,1.0,85,0,1
1,1,4,1.0,nan,1.0,1.0,1.0,96,0,1
1,1,5,1.0,nan,1.0,1.0,1.0,102,0,1
1,1,6,1.0,nan,1.0,1.0,1.0,103,0,1
1,1,7,1.0,nan,1.0,1.0,1.0,104,0,1
1,1,8,1.0,nan,1.0,1.0,1.0,107,0,1
1,1,9,1.0,nan,1.0,1.0,1.0,109,0,1
1,1,10,1.0,nan,1.0,1.0,1.0,112,0,1
1,1,11,1.0,nan,1.0,1.0,1.0,114,0,1
1,1,12,1.0,nan,1.0,1.0,1.0,117,0,1
1,1,13,1.0,nan,1.0,1.0,1.0,118,0,1
2,1,0,0.8,0.25,0.7857142857142857,1.0,1.0,60,0,1
2,1,1,0.782608695652174,0.5,0.3333333333333333,1.0,1.0,72,0,1
2,1,2,1.0,1.0,0.75,1.0,1.0,86,0,1
2,1,3,1.0,1.0,1.0,1.0,1.0,99,0,1
2,1,4,1.0,1.0,1.0,1.0,1.0,110,0,1
2,1,5,1.0,1.0,1.0,1.0,1.0,115,0,1
2,1,6,1.0,1.0,1.0,1.0,1.0,118,0,1
2,1,7,1.0,1.0,1.0,1.0,1.0,119,0,1
2,1,8,1.0,1.0,1.0,1.0,1.0,123,0,1
2,1,9,0.9649122807017544,0.6,0.967741935483871,1.0,1.0,127,0,1
2,1,10,1.0,1.0,1.0,1.0,1.0,131,0,1
2,1,11,1.0,1.0,1.0,1.0,1.0,136,0,1
2,1,12,1.0,1.0,1.0,1.0,1.0,137,0,1
2,1,13,1.0,1.0,1.0,1.0,1.0,140,0,1
3,1,0,0.9333333333333333,0.5,0.8571428571428571,1.0,1.0,60,0,1
3,1,1,0.9411764705882353,0.0,0.9333333333333333,1.0,1.0,63,0,1
3,1,2,0.8846153846153846,0.25,1.0,1.0,1.0,75,0,1
